postal_code	city	street	house_number	x	y	country
1000	Caracas	Av. Principal de Ruíz Pineda	7	-66.99544430278803	10.43610895200336	VE
1000	Caracas	Av. Principal de Ruíz Pineda	8	-66.99431735610659	10.43640799432497	VE
1000	Caracas	Av. Principal de Ruíz Pineda	9	-66.99368497711338	10.436896372540046	VE
1000	Caracas	Av. Principal de UD-4	1	-66.9777331264273	10.432995297165983	VE
1000	Caracas	Av. Principal de UD-4	10	-66.97730777422463	10.432146859227842	VE
1000	Caracas	Av. Principal de UD-4	11	-66.97713685872485	10.431871875473233	VE
1000	Caracas	Av. Principal de UD-4	12	-66.97739497504914	10.4316903408479	VE
1000	Caracas	Av. Principal de UD-4	13	-66.97741882420277	10.431103745562172	VE
1000	Caracas	Av. Principal de UD-4	14	-66.97716352486393	10.430824293093343	VE
1000	Caracas	Av. Principal de UD-4	15	-66.97763517586873	10.431485340953179	VE
1000	Caracas	Av. Principal de UD-4	15	-66.97743464999999	10.43062135	VE
1000	Caracas	Av. Principal de UD-4	2	-66.97856045	10.4332162	VE
1000	Caracas	Av. Principal de UD-4	3	-66.97886034227929	10.43330897506083	VE
1000	Caracas	Av. Principal de UD-4	4	-66.97947925000001	10.433277300000002	VE
1000	Caracas	Av. Principal de UD-4	5	-66.97960082547625	10.432991441035592	VE
1000	Caracas	Av. Principal de UD-4	51	-66.97434974999999	10.431740050000002	VE
1000	Caracas	Av. Principal de UD-4	52	-66.97447608437383	10.432148918047023	VE
1000	Caracas	Av. Principal de UD-4	53	-66.97420811565775	10.432022331989243	VE
1000	Caracas	Av. Principal de UD-4	54	-66.97354235	10.431465350000002	VE
1000	Caracas	Av. Principal de UD-4	55	-66.97326844999999	10.43124115	VE
1000	Caracas	Av. Principal de UD-4	56	-66.97302484999999	10.43105495	VE
1000	Caracas	Av. Principal de UD-4	57	-66.97252645824418	10.431198924657297	VE
1000	Caracas	Av. Principal de UD-4	58	-66.97236149999999	10.431510150000001	VE
1000	Caracas	Av. Principal de UD-4	59	-66.97281596639982	10.429185966940539	VE
1000	Caracas	Av. Principal de UD-4	6	-66.9788897	10.432282600000002	VE
1000	Caracas	Av. Principal de UD-4	60	-66.9727536	10.429675249999999	VE
1000	Caracas	Av. Principal de UD-4	61	-66.97263695000001	10.4299589	VE
1000	Caracas	Av. Principal de UD-4	62	-66.9727224	10.430526949999999	VE
1000	Caracas	Av. Principal de UD-4	7	-66.9790968	10.432043750000002	VE
